"Action","פעולה"
"All types","כל הסוגים"
"Backup file ""%s"" can\'t read or write","קובץ גיבוי ""%s"" לא ניתן לקריאה או כתיבה"
"Backup file ""%s"" doesn\'t exist","קובץ גיבוי ""%s"" לא קיים"
"Backup file doesn't exist","קובץ גיבוי לא קיים"
"Backup file handler don\'t specify","Backup file handler don\'t specify"
"Backup file path don\'t specify","לא הוגדר נתיב לקובץ גיבוי"
"Backups","גיבוים"
"Cannot read backup file","לא יכול לקרוא קובץ גיבוי"
"Create Backup","צור גיבוי"
"DB","DB"
"Database was successfuly backed up.","בסיס הנתונים גובה בהצלחה"
"Download","הורד"
"Error write to Backup file ""%s""","שגיאה בכתיבה לקובץ גיבוי ""%s"""
"File compressed with Zlib, but this extension is not installed on server","הקובץ מכווץ עם Zlib אך מודול זה אינו מותקן בשרת זה"
"Size, byte","Size, byte"
"Time","שעה"
"Type","סוג"
"Unable to create backup. Please, try again later.","לא ניתן ליצור גיבוי. אנא נסה שנית מאוחר יותר."
"Wrong order of creation for new backup","Wrong order of creation for new backup"
