"%s is not correct comparsion method.","%s זאת לא שיטת השוואה תקינה."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","אפשר כמות קטנה מ-0"
"Allow Qty Below 0 and Notify Customer","אפשר כמות קטנה מ-0 ועדכן לקוח"
"Backorders","הזמנות בחוסר מלאי"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"Can not specify product identifier for order item","לא ניתן לציין מזהה מוצר עבור פריט"
"Catalog Inventory","מצאי קטלוג"
"Decrease Stock When Order is Placed","הקטן מלאי עם קבלת הזמנה"
"In Stock","במלאי"
"Index product stock status","אנדקס סטטוס מלאי המוצרים"
"Inventory","מצאי"
"Inventory API","מצאי API"
"Inventory Section","מדור מצאי"
"Manage Stock","נהל מלאי"
"Maximum Qty Allowed in Shopping Cart","כמות מקסימלית מורשית בסל הקניות"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המורשית בסל הקניות"
"No Backorders","אין הזמנות בחוסר מלאי"
"Notify for Quantity Below","התרע לכמות מתחת"
"Out of Stock","לא נמצא במלאי"
"Product Stock Options","אפשרויות מלאי מוצרים"
"Qty for Items' Status to become Out of Stock","כמות מינימלית כדי שסטטוס מוצר יהיה ""לא נמצא במלאי"""
"Retrieve stock data","שלוף מידע על מלאי"
"Retrieve stock data by product ids","שלוף מידע על מלאי לפי ID של מוצרים"
"Rule price","כלל מחיר"
"Set Items' Status to be In Stock When Order is Cancelled","קבע סטאטוס של פריט להיות במלאי כאשר הזמנה מבוטלת"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","מוצרים אחדים לא ניתן להזמין בכמות המבוקשת"
"Some of the products cannot be ordered in the requested quantity","מוצרים אחדים לא ניתן להזמין בכמות המבוקשת"
"Stock Options","אפשרויות מלאי"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"Stock status","סטטוס המלאי"
"The maximum quantity allowed for purchase is %s.","כמות מירבית ניתנת רכישה היא %s."
"The minimum quantity allowed for purchase is %s.","כמות מינימלית ניתנת רכישה היא %s."
"The requested quantity for ""%s"" is not available.","הכמות המבוקשת של ""%s"" אינה זמינה."
"The requested quantity is not available.","כמות המבוקשת אינה זמינה."
"This product is currently out of stock.","מוצר זה כרגע לא נמצא במלאי."
"This product is not available in the requested quantity. %s of the items will be backordered.","מוצר זה לא זמין בכמות המבוקשת. %s מהפריטים יוזמנו בחוסר מלאי."
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Undefined product type","סוג המוצר לא מוגדר"
"Update","עדכן"
"Update product stock data","עדכן מידע על מלאי מוצרים"
"Update the Product","עדכן מוצר"
