"* Select shipping method","* בחר אופן שילוח"
"AVS Status: %s","AVS סטטוס: %s"
"Add","הוסף"
"Add Shipping Method","הוסף שיטת משלוח"
"Allowed Methods","שיטות מאופשרות"
"Amount: %s","כמות: %s"
"Auto-generated from GoogleCheckout Charge","Auto-generated from GoogleCheckout Charge"
"Buyer account age: %s days","ותק חשבון הקונה: %s ימים"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","הנחה לסל"
"Checkout Image Style","סגנון תמונת תשלום"
"Continue Shopping URL","כתובת URL להמשך קניות"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","מחיר ברירת מחדל:"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Eligible for protection: %s"
"Enable","הפעל"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","תוקף: %s"
"Financial: %s -> %s","Financial: %s -> %s"
"Free Shipping","משלוח חינם"
"Fulfillment: %s -> %s","Fulfillment: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Authorization:"
"Google Buyer Id: %s","Google Buyer Id: %s"
"Google Charge:","Google Charge:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Carrier Calculated"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - Flat Rate"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - Merchant Calculated"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google Order Number: %s"
"Google Refund:","Google Refund:"
"Google Risk Information:","Google Risk Information:"
"Google order status change:","Google order status change:"
"Hide Cart Contents","הסתר תוכן הסל"
"IP Address: %s","כתובת IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","חשבונית נוצרה אוטומטית: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","גדול - %s"
"Latest Charge: %s","Latest Charge: %s"
"Latest Refund: %s","Latest Refund: %s"
"Location","מיקום/אתר"
"Medium - %s","Medium - %s"
"Merchant ID","Merchant ID"
"Merchant Key","Merchant Key"
"Method","שיטה"
"New order status","סטאטוס של הזמנה חדשה"
"No","לא"
"Optional, leave empty for home page.","Optional, leave empty for home page."
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","הסר"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Sandbox"
"Secure Callback URL","Secure Callback URL"
"Small - %s","קטן - %s"
"Total Charged: %s","Total Charged: %s"
"Total Refunded: %s","Total Refunded: %s"
"Transparent","שקוף"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","Virtual item to reflect discount total"
"White Background","רקע לבן"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
