"(Optional. Leave blank for no prefix)","(אופציונלי. ללא תחילית השאר ריק )"
"(ver. %s)","(גרסה. %s)"
"(Make sure you keep it in a safe place.)","(הקפד לשמור במקום בטוח.)"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatively you could try the 'Manual Downloads and Upgrades' method."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required."
"Currently this is the most stable state available for Magento packages.","Currently this is the most stable state available for Magento packages."
"Full Download / SVN Installation","Full Download / SVN Installation"
"Get ready to experience Open-Source eCommerce Evolved.","Get ready to experience Open-Source eCommerce Evolved."
"If you are a developer and would like to have the latest public updates, choose this option.","If you are a developer and would like to have the latest public updates, choose this option."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files."
"If your server is running on MS Windows, most probably you will not need to change anything.","If your server is running on MS Windows, most probably you will not need to change anything."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In other cases you will need to make Magento files writeable for the user that the web server process is running under."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page."
"One from PHP Extensions ""%s"" must be loaded","One from PHP Extensions ""%s"" must be loaded"
"PHP Extension ""%s"" must be loaded","PHP Extension ""%s"" must be loaded"
"PHP Extension '%s' loaded","PHP Extension '%s' loaded"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration."
"Please note that it is much less stable than beta.","Please note that it is much less stable than beta."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option."
"Preferred stability: %s","Preferred stability: %s"
"Provide a complete base URL for SSL connection. For example: %s","Provide a complete base URL for SSL connection. For example: %s"
"Run admin interface with SSL","Run admin interface with SSL"
"Run this in your shell from Magento root folder:","Run this in your shell from Magento root folder:"
"Secure Base URL","Secure Base URL"
"Use Secure URLs (SSL)","Use Secure URLs (SSL)"
"Use Web Server (Apache) Rewrites","Use Web Server (Apache) Rewrites"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","You could enable this option to use web server rewrites functionality for improved search engines optimization."
"You're All Set","You're All Set"
"You're All Set","You're All Set"
"Database user password","מסד נתונים - סיסמא"
"Database Name","מסד נתונים - שם מסד"
"Database user name","מסד נתונים - שם משתמש"
"Database host","מסד נתונים - שרת"
"Encryption Key","מפתח הצפנה"
"Locale","מקומי/איזורי"
"Default Currency","מטבע ברירת מחדל"
"Magento","מג'נטו"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","מג'נטו הינה סימן מסחרי של Irubin Consulting Inc. DBA Varien. כל הזכויות שמורות &copy; %s Irubin Consulting Inc."
"Installation Guide","מדריך התקנה"
"Downloading and installing Magento, please wait...","מוריד ומתקין את מג'נטו, אנא המתן...."
"Email","דואר אלקטרוני"
"I agree to the above terms and conditions","אני מסכים לתנאים הרשומים לעיל"
"Enable this option only if you have SSL available.","אפשר את האופציה הזו רק בתנאי שקיים SSL"
"Web access options","אפשרויות גישה לאתר"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","ארעה שגיאה בהתקנת חבילות מג'נטו. קרא את הלוג, תקן טעויות ונסה שוב."
"Magento Installation Wizard","אשף ההתקנה של מג'נטו"
"Confirm Password","אימות סיסמא"
"Password Confirmation","אישור סיסמא"
"Time Zone","איזור זמן"
"Having trouble installing Magento?","נתקל בקשיים בהתקנת מג'נטו?"
"Path ""%s"" must be writable","נתיב ""%s"" חייב להיות מורשה לכתיבה"
"Package Management through the Web","ניהול חבילות דרך האינטרנט"
"Manual Downloads and Upgrades","ניהול הורדות ושידרוגים"
"Password","סיסמא"
"User Password","סיסמת משתמש"
"Help Us to Keep Magento Healthy","עזור לנו לשמור על מג'נטו נקיה מבאגים"
"Login Information","פרטי כניסה"
"Personal Information","פרטים אישיים"
"Create Admin Account","צור חשבון מנהל"
"Please set all required settings before clicking Continue","קבע את כל ההגדרות הנדרשות לפני הלחיצה על ""המשך"""
"Setting preferred state to: %s","קובע מדינה נבחרת ל: %s"
"Connection","קישור"
"Database Connection","קישור לבסיס נתונים"
"Last Name","שם משפחה"
"Username","שם משתמש"
"User Name","שם משתמש"
"First Name","שם פרטי"
"Host","שרת/מארח"
"Database connection error","תקלה בקישור לבסיס נתונים"
"Tables Prefix","תחילית שם טבלה"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","תחילית שם טבלה צריכה לכלול רק אותיות (a-z), ספרות (0-9) או קו תחתון (_), תו ראשון צריך להיות אות"
"Go to Backend","לך לממשק אחורי"
"Go to Frontend","לך לממשק קידמי"
"After successfull installation please click the button below.","לאחר השלמת ההתקנה לחץ על הכפתור התחתון"
"Localization","לוקליזציה"
"Welcome to Magento's Installation Wizard","ברוך הבא לאשף ההתקנה של מג'נטו"
"Choose this if you would like to test frontend and backend functionality.","בחר אם ברצונך לבחון את הפוקציונליות של המערכת"
"Check out our","בדוק את ה"
"Required Fields","שדות חובה"
"Skip Secure URL validation before next step","דלג על בדיקת אבטחת כתובת URL בשלב הבא"
"Report All Bugs","דווח על כל הבאגים"
"Continue","המשך"
"Continue After Manual Download","המשך לאחר הורדה ידנית"
"Proceed With Automatic Download (%s)","המשך בהורדה אוטומטית (%s)"
"Continue Full Download / SVN Installation","המשך התקנה מלאה / SVN"
"Installation","התקנה"
"Configuration","הגדרות"
"Locale settings","הגדרות מקומיות/איזוריות"
"Download","הורד"
"Download Magento Core Modules and Updates","הורד את מודולי הליבה והעידכונים של מג'נטו"
"Url ""%s"" is not accessible","כתובת URL ""%s"" לא נגישה"
"Url ""%s"" is invalid","כתובת URL ""%s"" לא תקינה"
"Email Address","דואר אלקטרוני"
"This Url is invalid","כתובת זו אינה תקינה"
"All packages were installed successfully, click 'Ok' to continue with installation","כל התוספות הותקנו בהצלחה, לחץ 'אישור' כדי להמשיך את ההתקנה"
