"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","API Login ID"
"Accepted currency","מטבע מקובל"
"Authorize Only","הרשאה בלבד"
"Authorize and Capture","הרשה והתחל לכידה"
"Authorize.net","Authorize.net"
"Centinel API URL","Centinel API URL"
"Credit Card Types","סוגי כרטיסי אשראי"
"Credit Card Verification","אימות כרטיס אשראי"
"Debug","Debug"
"Email customer","שלח הודעה ללקוח"
"Enabled","פעיל"
"Error in authorizing the payment","שגיאה בתהליך אישור התשלום"
"Error in capturing the payment","שגיאה בלכידת תשלום"
"Error in payment gateway","שגיאה בשרות סליקה"
"Error in refunding the payment","שגיאה בהחזר תשלום"
"Error in refunding the payment.","שגיאה בהחזר תשלום."
"Error in retrieving the transaction","שגיאה בקבלת טרנזקציה"
"Fraud order status","סטטוס הזמנות הונאה"
"Gateway error: %s","שגיאת שרת הסליקה: %s"
"Invalid amount for authorization","כמות לא תקנית לאישור"
"Invalid amount for authorization.","כמות לא תקנית לאישור."
"Invalid transaction id","Invalid transaction id"
"Live: <strong>https://payflowpro.paypal.com/transaction</strong><br />Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>","Live: <strong>https://payflowpro.paypal.com/transaction</strong><br />Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>"
"Maximum Order Total","סכום מירבי להזמנה"
"Merchant Login","התחברות סוחר"
"Merchant's email","דואר אלקטרוני של סוחר"
"Minimum Order Total","סכום מינימלי להזמנה"
"New order status","סטטוס הזמנה חדשה"
"Partner","שותף"
"Password","סיסמא"
"PayflowPro","PayflowPro"
"Payment Action","פעולת תשלום"
"Payment authorization error.","שגיאה בהרשאת תשלום."
"Payment authorization transaction has been declined.","הרשאת עסקת תשלום נדחתה."
"Payment from Specific countries","תשלום מארצות ספציפיות"
"Payment from applicable countries","תשלום ממדינות מאושרות"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Sort order","מיון לפי"
"TENDER","TENDER"
"Test mode","מצב טסט"
"Title","כותרת"
"Transaction key","מפתח/קוד טרנזקציה"
"URL","כתובת"
"Use Proxy","Use Proxy"
"User","משתמש"
"VERBOSITY","VERBOSITY"
"Voided transaction","עסקה מבוטלת"
