"API Password","API Password"
"API Signature","API Signature"
"API User Name","API User Name"
"Debug Flag","Debug Flag"
"PayPal Email","PayPal Email"
"Paypal Logo Image URL(150x150)","Paypal Logo Image URL(150x150)"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sandbox Flag","Sandbox Flag"
"Use Proxy","Use Proxy"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
"You will be redirected to PayPal website when you place an order.","תועבר לאתר Paypal לביצוע התשלום בסיום ההזמנה."
"Your billing address will be ignored and you will be redirected to PayPal website","לא תהיה התחשבות בכתובת החיוב, ותועבר ישירות לאתר PayPal"
"Price","מחיר"
"Billing Information","פרטי התשלום"
"Shipping Information","פרטי המשלוח"
"Sort order","מיון לפי"
"Please select a shipping method...","אנא בחר את שיטת המשלוח..."
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"Subtotal","סך ביניים"
"Review Order","סקור ההזמנה"
"New order status","סטטוס הזמנה חדשה"
"Type","סוג"
"Transaction Type","סוג טרנזקציה"
"Credit Card Types","סוגי כרטיסי אשראי"
"Edit Shopping Cart","ערוך סל קניות"
"Update Shipping Method","עדכן צורת משלוח"
"Payment Action","פעולת תשלום"
"Enabled","פעיל"
"Items in Your Shopping Cart","פריטים בסל הקניות שלך"
"Product Name","שם המוצר"
"Business Name","שם העסק"
"Change Payment Method","שנה שיטת התשלום"
"Change Shipping Address","שנה כתובת למשלוח"
"Submitting order information...","שולח מידע על ההזמנה..."
"Shipping Method","שיטת שילוח"
"Payment Method","שיטת התשלום"
"Payment from applicable countries","תשלום ממדינות מאושרות"
"Payment from Specific countries","תשלום מארצות ספציפיות"
"Your billing address will be ignored and you will be redirected to PayPal website","לא תהיה התחשבות בכתובת החיוב, ותועבר ישירות לאתר PayPal"
"PayPal Account","חשבון PayPal"
"Business Account","חשבון עיסקי"
"You will be redirected to paypal in a few seconds.","המתן למעבר ל- PAYPAL תוך מספר שניות."
"Place an Order","הזמן"
"Qty","כמות"
"Shipping Address","כתובת למשלוח"
"Title","כותרת"
