"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף כלל"
"Apply","החל"
"Apply the rule only if the following conditions are met (leave blank for all products)","החל את כלל רק אם התנאים הבאים מתקיימים (השאר ריק להפעלה על כל המוצרים)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","החל כלל על פריטי הסל שתואמים את התנאים הבאים (השאר ריק להפעלה על כל הפריטים)"
"Apply the rule to cart items matching the following conditions","החל כלל על פריטי הסל שתואמים את התנאים הבאים"
"Apply to","החל על"
"Apply to Shipping Amount","החל על כמות המשלוח"
"Buy X get Y free (discount amount is Y)","קנה X קבל Y חינם (גובה הנחה היא Y)"
"By Fixed Amount","לפי כמות קבועה"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"By Percentage of the original price","לפי אחוז מהמחיר המקורי"
"Cart Attribute","תכונות סל קניות"
"Catalog","קטלוג"
"Conditions","תנאים"
"Conditions combination","שילוב תנאים"
"Coupon code","קוד קופון"
"Coupon Code","קוד קופון"
"Customer Groups","קבוצות לקוחות"
"Customer is new buyer: %s","הלקוח הוא קונה חדש: %s"
"Customer registered: %s","לקוח נרשם: %s"
"Date Expire","תאריך פג תוקף"
"Date Start","תאריך התחלה"
"Default Label","כותרת ברירת מחדל"
"Default Rule Label for All Store Views","כותרת הכלל ברירת מחדל לכל תצוגות החנויות"
"Delete Rule","מחק כלל"
"Description","תיאור"
"Description: %s","תיאור: %s"
"Discount Qty Step (Buy X)","מדרגת הנחה לכמות (קנה X)"
"Discount amount","גובה/כמות הנחה"
"Edit Rule '%s'","ערוך חוק '%s'"
"Edit Rule","ערוך כלל"
"Expire at: %s","פג תוקף ב: %s"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","לפריטים תואמים בלבד"
"For shipment with matching items","For shipment with matching items"
"Free shipping","משלוח חינם"
"From Date","מתאריך"
"General Information","מידע כללי"
"ID","ID"
"Inactive","לא פעיל"
"Labels","כותרות"
"Maximum Qty Discount is Applied to","Maximum Qty Discount is Applied to"
"NOT LOGGED IN","לא מחובר"
"Name: %s","שם: %s"
"New Rule","חוק חדש"
"No","לא"
"Payment Method","שיטת התשלום"
"Percent of product price discount","אחוז הנחה ממחיר המוצר"
"Price in cart","מחיר לסל"
"Priority","עדיפות"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Promotions","מבצעים"
"Public In RSS Feed","Public In RSS Feed"
"Quantity in cart","כמות בסל הקניות"
"Row total in cart","סה""כ פריטים לסל"
"Rule Information","פרטי כלל"
"Rule Name","שם הכלל"
"Rule was successfully deleted","הכלל נמחק בהצלחה"
"Rule was successfully saved","הכלל נשמר בהצלחה"
"Save And Continue Edit","שמור והמשך בעריכה"
"Save Rule","שמור כלל"
"Shipping Country","ארץ המשלוח"
"Shipping Method","שיטת משלוח"
"Shipping Postcode","משלוח - מיקוד"
"Shipping Region","משלוח - איזור"
"Shipping State/Province","משלוח - אזור/מחוז"
"Shopping Cart Price Rule","כלל למחיר סל הקניות"
"Shopping Cart Price Rules","כללי קניות - כללי מחיר"
"Special price","מחיר מבצע"
"Start at: %s","מתחיל ב: %s"
"Status","סטאטוס"
"Stop further rules processing","הפסק הפעלת חוקים נוספים"
"Store View Specific Labels","כותרות לתצוגת חנות מסוימת"
"Subtotal","סך ביניים"
"The page you are trying to save no longer exists","הדף שאתה מנסה לשמור לא קיים יותר"
"This rule no longer exists","כלל זה לא קיים יותר"
"To Date","עד לתאריך"
"To Fixed Amount","עד כמות"
"To Fixed Value","עד ערך"
"To Percentage","עד אחוז"
"To Percentage of the original price","עד לאחוז מהמחיר המקורי"
"Total Items Quantity","סה""כ כמות פריטים"
"Total Weight","סה""כ משקל"
"Unable to find a page to delete","לא נמצא דף למחיקה"
"Update prices using the following information","עדכן מחירים בשימוש המידע הבא"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Update the Product","עדכן מוצר"
"Uses per coupon","מספר שימושים לקופון"
"Uses per customer","מספק שימושים ללקוח"
"Yes","כן"
