" for more information or email us at ","לעוד מידע או שלח לנו דואר אלקטרוני לכתובת"
"# of Items (and above)","# פריטים (ומעל)"
"# of Items vs. Destination","מספר פריטים ביחס ליעד"
"Allow Shipping to multiple addresses","אפשר שילוח לכתובות מרובות"
"Calculate Handling Fee","חשב עלות טיפול"
"Carrier:","מוביל"
"City","עיר"
"Close Window","סגור חלון"
"Condition","תנאי"
"Country","ארץ"
"Date","תאריך"
"Delivered on:","נמסר ב:"
"Delivered to:","נמסר ל:"
"Description","תיאור"
"Displayed Error Message","הודעת שגיאה מוצגת"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")"
"Enabled","פעיל"
"Error:","שגיאה:"
"Export","ייצוא"
"Fixed","קבוע"
"Flat Rate","תעריף אחיד"
"Free Shipping","משלוח חינם"
"Handling Fee","דמי טיפול"
"Import","ייבוא"
"Info:","פרטים:"
"Invalid %s ""%s"" in the Row #%s","%s ""%s"" לא תקני בשורה #%s"
"Invalid Country ""%s"" in the Row #%s","ארץ לא תקנית ""%s"" בשורה #%s"
"Invalid Region/State ""%s"" in the Row #%s","Invalid Region/State ""%s"" in the Row #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Invalid Shipping Price ""%s"" in the Row #%s"
"Invalid Table Rate code for type %s: %s","שקלול סוג הקוד בטבלא שגוי %s: %s"
"Invalid Table Rate code type: %s","שקלול סוג הקוד בטבלא שגוי: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"Local Time","שעה מקומית"
"Location","מיקום/אתר"
"Maximum qty allowed for Shipping to multiple addresses","כמות מירבית מותרת למשלוח למספר מקומות"
"Method name","שם השיטה"
"Minimum order amount","כמות הזמנה מינימלית"
"N/A","לא זמין"
"None","ללא"
"Options","אפשרויות"
"Order Subtotal (and above)","סך ביניים להזמנה (ומעליו)"
"Origin","מקור"
"Per Order","להזמנה"
"Per Package","לחבילה"
"Percent","אחוז"
"Price vs. Destination","מחיר כנגד היעד"
"Price","מחיר"
"Region/State","איזור/מדינה"
"Service Type:","סוג שירות:"
"Ship to Specific countries","שלח לארצות נבחרות"
"Ship to applicable countries","שלח לארצות מאופשרות"
"Shipment #","מס' משלוח
"Shipped or billed on:","נשלח או חוייב ב:"
"Shipping Methods","שיטות משלוח"
"Shipping Methods Section","מדור שיטות שילוח"
"Shipping Settings","שילוח - הגדרות"
"Shipping Settings Section","מדור הגדרות שילוח"
"Show method if not applicable","Show method if not applicable"
"Signed by:","נחתם ע""י:"
"Sort order","מיון לפי"
"Status:","סטטוס:"
"Store Pickup","איסוף עצמי מהחנות"
"Table rates","Table rates"
"The shipping module is not available for selected delivery country","מודול השילוח אינו זמין עבור הארץ הנבחרת"
"There is no tracking available for this shipment.","אין מעקב זמין למשלוח זה."
"There is no tracking available.","אין מעקב זמין."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","שיטת שילוח זו לא זמינה כעת. אם ברצונך להשתמש בה לשילוח אנא צור קשר."
"Title","כותרת"
"Track:","איתור:"
"Tracking Number:","מספר איתור/מעקב:"
"Tracking information is currently not available. Please ","מידע האיתור אינו זמין כרגע. בבקשה"
"Tracking information is currently unavailable.","מידע האיתור אינו זמין כרגע."
"Type","סוג"
"Weight (and above)","משקל (ומעליו)"
"Weight vs. Destination","משקל ביחס ליעד"
"Weight:","משקל:"
"ZIP/Postal Code","מיקוד"
"contact us","contact us"
