"%s %s for each sale you deliver","%s %s for each sale you deliver"
"%s %s for the first order of a customer, %s for next orders","%s %s for the first order of a customer, %s for next orders"
"%s on the first order, %s of next orders","%s on the first order, %s of next orders"
"Coupon","קופון"
"Coupons","קופונים"
"Select "Yes" to allow using both affiliate coupon and sale rule coupon at once.<br />Select "No" if you want either affiliate coupon or sale coupon is applied.","Select "Yes" to allow using both affiliate coupon and sale rule coupon at once.<br />Select "No" if you want either affiliate coupon or sale coupon is applied."
"Used to generate coupon code for Affiliates. Eg:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>AFFILIATE-[A.4]-[AN.6] : AFFILIATE-ADFA-12NF0O</strong>","Used to generate coupon code for Affiliates. Eg:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>AFFILIATE-[A.4]-[AN.6] : AFFILIATE-ADFA-12NF0O</strong>"
"Action","פעולות"
"Affiliate Email","מייל שותף"
"Affiliate Program","תוכנית שותף"
"Affiliate coupon","קופון שותף"
"Affiliate Coupon","קופון שותף"
"Affiliateplus","תוכנית שותפים"
"All Transactions","כל העסקאות"
"Allow Everything","אפשר הכל"
"Canceled","בוטל"
"Commission","עמלה"
"Commission Type","סוג עמלה"
"Completed","הושלם"
"Complete","Complete"
"Coupon Code","קוד קופון"
"Coupon Code Pattern","תבנית קוד קופון"
"Coupon Configuration","הגדרות קופון"
"Coupon Transaction Manager","מנהל עסקת קופון"
"Coupon Transactions Manager","מנהל עסקת קופון"
"Coupon code ","קוד קופון "
"Coupon code pattern","תבנית קוד קופון"
"Customer Email","מייל לקוח"
"Disable","לא פעיל"
"Discount","הנחה"
"Discount Type","סוג הנחה"
"Enable","פעיל"
"Enable Coupon plugin","הפעל תוסף קופון"
"Get %s discount by Coupon Code: ","קבל %s הנחה על קוד קופון: "
"ID","מזהה ID"
"Invalid shipping method.","שיטת משלוח לא תקינה."
"Link Transaction Manager","מנהל לינק עסקה"
"Link Transactions Manager","מנהל לינק עסקה"
"On Hold","בהשהיה"
"Order","הזמנה"
"Pay-per-Profit","תשלום-פר-רווח"
"Pay-per-Sale","תשלום-פר-מכירה"
"Pending","בהמתנה"
"Please join to a program to get coupon code.","אנא הצטרף לתוכנית כדי לקבל קוד קופון."
"Product Name","שם מוצר"
"Program","תוכנית"
"Share with your friends the coupon code below.","שתף את הקופון שלמטה עם חברים."
"Status","סטטוס"
"Store view","Store view"
"Time","זמן"
"Total Amount","סה"כ כמות"
"Transactions from Coupon","עסקאות מקופון"
"Transaction-from-Coupon Manager","מנהל עסקאות-מקופון"
"Transactions from Link","עסקאות מלינק (קישור)"
"Transaction-from-Link  Manager","מנהל עסקה-מלינק (קישור)"
"Tried to generate coupon code 100 times!","Tried to generate coupon code 100 times!"
"Tweet","צייץ"
"Use affiliate and sale coupon simultaneously","השתמש בשותף ובקופון מבצע בו זמנית"
"Use coupon","השתמש בקופון"
"View","הצג"
"View Program","הצג תוכנית"
"View Program Detail","הצג את פרטי התכונית"
"You have no affiliate coupon code.","אין ברשותך קופון שותף."
"You will receive commission when your friends purchase using this coupon.","אתה תקבל עמלה שהחברים שלך יבצעו קניה בקופון הזה."
"at","ב"
"discount","הנחה"
"discount on each order","המנחה לכל הזמנה"
"discount on each purchased item","discount on each purchased item"
"from","מאת"
"on each purchased item","on each purchased item"
"to","ל"
"Used to generate coupon codes for Affiliates. Eg:<br/><strong>[A.8] : 8 alpha characters<br/>[N.4] : 4 numeric characters<br/>[AN.6] : 6 alphanumeric characters<br/>AFFILIATE-[A.4]-[AN.6] : AFFILIATE-ADFA-12NF0O</strong>","Used to generate coupon codes for Affiliates. Eg:<br/><strong>[A.8] : 8 alpha characters<br/>[N.4] : 4 numeric characters<br/>[AN.6] : 6 alphanumeric characters<br/>AFFILIATE-[A.4]-[AN.6] : AFFILIATE-ADFA-12NF0O</strong>"
