"#","#"
"%s of sales amount","%s of sales amount"
"%s per sale","%s per sale"
"-- Please Select --","-- בחר אפשרות --"
"Action","פעולות"
"Add Program","הוסף תוכנית"
"Affiliate Account","חשבון שותף"
"Affiliate Accounts","חשבונות שותפים"
"Multi-program Configuration","הגדרות תוכנית מולטי"
"Affiliate Program","תוכנית שותפים"
"Affiliateplus","Affiliateplus"
"Allow Everything","אפשר הכל"
"Allow auto-join","אפשר הצטרפות אוטומטית"
"Applied Categories","החל קטגוריות"
"Apply To","החל על"
"Customer Groups Applied","בוצע על קבוצות לקוחות"
"Apply to","החל על"
"Are you sure?","האם אתה בטוח?"
"As General Configuration","הגדרות כלליות"
"Attrib. Set Name","שם סט תכונות"
"Back","חזרה"
"Balance","יתרה"
"CSV","CSV"
"Categories","קטגוריות"
"Assigned Affiliates","שותפים משוייכים"
"All Affiliates","כל השותפים"
"Commission Paid","עמלה שולמה"
"Change status","שנה סטטוס"
"Commission","עמלה"
"Commission Type","סוג עמלה"
"Commission Value","גובה העמלה"
"Conditions","תנאים"
"Date Created","תאריך יצירה"
"Customer","לקוח"
"Customer Email","מייל לקוח"
"Customer Groups","קבוצות לקוחות"
"Delete","מחק"
"Delete Program","מחק תוכנית"
"Description","תיאור"
"Disabled","לא פעיל"
"Discount","הנחה"
"Discount Type","סוג הנחה"
"Discount Value","גובה הנחה"
"Discount: ","הנחה: "
"Edit","עריכה"
"Edit Program ","עריכת תוכנית "
"Email","מייל"
"Email Address","כתובת מייל"
"Enabled","פעיל"
"First Order Discount: ","הנחה על הרכישה הראשונה: "
"From Date","מתאריך"
"From: ","מאת: "
"Global","גלובלי"
"ID","מזהה ID"
"Information","פרטים"
"Join All Selected Programs","הצטרף לכל התוכניות שנבחרו"
"Join Program","הצטרף לתוכנית"
"Joined On","תאריך התצטרפות"
"Level %d","Level %d"
"Manage Programs","ניהול תוכניות"
"My Programs","התוכניות שלי"
"Name","שם"
"New Program","תוכנית חדשה"
"No.","מספר"
"Notice","הערה"
"Number of Accounts","מספר חשבונות"
"Number of Affiliate Accounts","מספר חשבונות שותפים"
"Opt Out","Opt Out"
"Opt out","Opt out"
"Order","הזמנה"
"Other Programs","תכוניות אחרות"
"Pay commission","שלם עמלה"
"Pay per Profit","שלם פר רווח"
"Pay per Sales","שלם פר מכירות"
"Pay-per-profit","שלם-פר-רווח"
"Pay-per-sales","שלם-פר-מכירות"
"Please select a program to join!","אנא בחר תכונית להצטרפות!"
"Please select a program to join.","אנא בחר תוכנית להצטרפות."
"Position","מיקום"
"Price","מחיר"
"Product","מוצר"
"Product Categories","קטגוריות מוצרים"
"Product Name","שם מוצר"
"Products","מוצרים"
"Program Detail","פרטי התוכנית"
"Program Details","פרטי התכונית"
"Program Information","מידע על התוכנית"
"Program Manager","מנהל התוכנית"
"Program Name","שם התוכנית"
"Program News","חדשות התוכנית"
"Program does not exist","תכונית אינה קיימת"
"Program information","מידע על התוכנית"
"Program joined already!","הצטרפת כבר לתוכנית זו!"
"Program not found!","התוכנית לא נמצאה!"
"Program not joined!","לא הצטרפת לתוכנית!"
"Program was successfully deleted","התוכנית נחקה בהצלחה"
"Program was successfully saved","התוכנית נשמרה בהצלחה"
"Program: ","תוכנית: "
"Programs","תוכניות"
"Programs Manager","מנהל התוכניות"
"SKU","מק"ט"
"STORE VIEW","STORE VIEW"
"Save And Continue Edit","שמר והמשך בעריכה"
"Save Program","שמור תוכנית"
"Select ","בחר "
"Show default affiliate program in frontend","הצג תוכנית ברירת מחדל בחנות"
"Status","סטטוס"
"This program only available","התוכנית הזו אינה קיימת"
"To Date","עד תאריך"
"To: ","עד: "
"Total Amount","סך הכל כמות"
"Total Commission Received","סל הכל עמלות שהתקבלו"
"Total Paid","סך הכל שולם"
"Total Sales Amount","סך הכל כמות מכירות"
"Unable to find program to save","לא נמצאה תוכנית לשמירה"
"Use Default","השתמש בברירת מחדל"
"Use different commission from 2nd order of a Customer","השתמש בעמלה אחרת מההזמנה ה 2 ללקוח"
"Use different discount from 2nd order of a Customer","השתמש בהנחה אחרת מההזמנה ה 2 ללקוח"
"View Affiliate Account Details","הצג את פרטי החשבון של השותף"
"View Product Detail","הצג את פרטי המוצר"
"View Program Configuration Detail","הצג את הגדרות התוכנית"
"View Program Detail","הצג את פרטי התכונית"
"View Program Product List","הצג את רשימת המוצרים של התוכנית"
"View Program Description","הצג את תיאור התוכנית"
"View Tier Commission","הצג את העמלה לרכישה כמותית"
"View Transactions","הצג העברות"
"Transactions","העברות"
"View tier level commission amounts","הצג את גובה העמלה לרכישה כמותית"
"Visibility","נראות"
"Visible","מוצג"
"Discount is applied to customers who buy products directly. Select none for all customers. ","Discount is applied to customers who buy products directly. Select none for all customers. "
"XML","XML"
"You have been out of program ","יצאת מהתוכנית "
"You have joined program ","הצטרפת לתוכנית "
"You have joined to %s program successfully!","הצטרפת ל %s תוכניות בהצלחה!"
"first order","להזמנה הראשונה"
"for next orders","להזמנות הבאות"
"for the first order of a customer","להזמנה הראשונה של הלקוח"
"for whole cart","לכל הסל"
"from %s","from %s"
"to %s","to %s"
